time,facing_dot_north
5732781.24199456,0.00667091126899492
5732781.34199455,0.00667002010215822
5732781.44199455,0.00667168064300434
5732781.54199455,0.00667201168278067
5732781.64199455,0.0066740278470916
5732781.74199454,0.00667369942654502
5732781.84199454,0.00667581868208439
5732781.94199454,0.00667349378436508
5732782.04199454,0.00667436798753479
5732782.14199454,0.00667636156373187
5732782.24199453,0.00667446123232413
5732782.34199453,0.00667449407722757
5732782.44199453,0.00667472663685119
5732782.54199453,0.00667603058774013
5732782.64199452,0.00667395171533922
5732782.74199452,0.0066730116413325
5732782.84199452,0.00667345141021151
5732782.94199452,0.00667343838926899
5732783.04199452,0.00667259009725985
5732783.14199451,0.00667001206146605
5732783.24199451,0.0066714409732108
5732783.34199451,0.00667062244157843
5732783.44199451,0.00666874688636385
5732783.5419945,0.00666827834614371
5732783.6419945,0.00666812416759838
5732783.7419945,0.00666887009588322
5732783.8419945,0.00666576603378245
5732783.9419945,0.00666687979341473
5732784.04199449,0.00666761913902948
5732784.14199449,0.00666518129126905
5732784.24199449,0.00666784316294009
5732784.34199449,0.00666606757731682
5732784.44199448,0.00666715517364803
5732784.54199448,0.00666689130226993
5732784.64199448,0.00666722791695807
5732784.74199448,0.00667020714081166
5732784.84199448,0.00666805220050192
5732784.94199447,0.00667023798738289
5732785.04199447,0.00666991490194658
5732785.14199447,0.00667034887792818
5732785.24199447,0.00667296806745151
5732785.34199446,0.00667044401658062
5732785.44199446,0.00667278076731603
5732785.54199446,0.00667345094082191
5732785.64199446,0.00667523928376712
5732785.74199446,0.00667320557878347
5732785.84199445,0.00667462470007644
5732785.94199445,0.00667660923014862
5732786.04199445,0.00667440714091975
5732786.14199445,0.00667606262883863
5732786.24199444,0.0066753571179508
5732786.34199444,0.00667515229234886
5732786.44199444,0.00667730196017785
5732786.54199444,0.00667586955203893
5732786.64199444,0.00667490026568183
5732786.74199443,0.00667703955096986
5732786.84199443,0.00667395816911635
5732786.94199443,0.00667437804183567
5732787.04199443,0.00667587058165454
5732787.14199442,0.0066734507244841
5732787.24199442,0.00667362678450948
5732787.34199442,0.00667321305269675
5732787.44199442,0.00667273803737314
5732787.54199442,0.00667409259858614
5732787.64199441,0.00667377900014282
5732787.74199441,0.00667243922707394
5732787.84199441,0.00667233019598514
5732787.94199441,0.00667263236482915
5732788.0419944,0.00667396056575834
5732788.1419944,0.00667407232247672
5732788.2419944,0.00667271926780901
5732788.3419944,0.00667304262042038
5732788.4419944,0.0066733912428954
5732788.54199439,0.00667537364149277
5732788.64199439,0.00667557039846153
5732788.74199439,0.00667413550200251
5732788.84199439,0.00667655532988146
5732788.94199438,0.0066762961269587
5732789.04199438,0.00667681773919295
5732789.14199438,0.00667740881891937
5732789.24199438,0.00667770846039447
5732789.34199438,0.00667998681970583
5732789.44199437,0.00667767118104004
5732789.54199437,0.00668141956176509
5732789.64199437,0.00667865565118524
5732789.74199437,0.00668104822930916
5732789.84199436,0.00668062124528302
5732789.94199436,0.0066829603945566
5732790.04199436,0.0066816255919321
5732790.14199436,0.00668241996385912
5732790.24199435,0.00668272413549601
5732790.34199435,0.00668262781168836
5732790.44199435,0.00668255323897246
5732790.54199435,0.00668332850868002
5732790.64199435,0.00668241239482075
5732790.74199434,0.00668221810052549
5732790.84199434,0.00668301030320252
5732790.94199434,0.00668190061615535
5732791.04199434,0.00668165584133663
5732791.14199433,0.00668342994326307
5732791.24199433,0.00668069337206995
5732791.34199433,0.00668400512069194
5732791.44199433,0.00668081627382019
5732791.54199433,0.00668303512794862
5732791.64199432,0.00668239506741292
5732791.74199432,0.00668273952093505
5732791.84199432,0.00668324957839531
