time,altitude,phase_angle,airspeed,ergy,expected_ergy
3988001.76565675,55042.3853053529,-2.13809752340243,2109.61903962634,2719657.21481769,2821590
3988011.80565676,54628.2421574345,-3.99081654142915,2109.27165158974,2715514.13514935,2821590
3988021.84565677,54193.3909628221,-5.8443781201548,2108.86805953394,2711077.45888788,2821590
3988031.88565678,53741.2768648162,-7.6987749081136,2108.39151435893,2706339.9754186,2821590
3988041.76565679,53283.9777512621,-9.52441417011025,2107.83796557106,2701392.33935913,2821590
3988051.8056568,52800.2534022745,-11.3803874166535,2107.18022983782,2696000.92191183,2821590
3988061.84565681,52290.9490178886,-13.2371034739207,2106.41646178259,2690168.41654759,2821590
3988071.88565682,51762.4610526193,-15.0945208203941,2105.52606255392,2683904.10283498,2821590
3988081.76565683,51224.5942310814,-16.922955145929,2104.49761569812,2677264.58856284,2821590
3988091.79555918,50649.8422179788,-18.7796760214236,2103.29309349628,2669950.3614573,2821590
3988101.77555919,50051.6531168023,-20.6276143085331,2101.8940919259,2662015.39768233,2821590
3988111.7555592,49431.570766411,-22.4758874988864,2100.25766307391,2653391.15975532,2821590
3988121.73555921,48777.6415681295,-24.3243411157195,2098.36541432693,2643938.79626654,2821590
3988131.79555922,48085.8160797649,-26.1876236755098,2096.14018500737,2633462.58810422,2821590
3988141.77555923,47369.8805826054,-28.0358790443034,2093.55456632779,2622021.07535995,2821590
3988151.75555924,46611.2600193917,-29.8836497076585,2090.53058176807,2609295.92601384,2821590
3988161.73555925,45817.0184206787,-31.7306059450808,2086.97397503953,2595151.77588255,2821590
3988171.79555925,44970.2681170863,-33.5911075979582,2082.74785515502,2579163.19279822,2821590
3988181.77555926,44083.1511978927,-35.4350523656132,2077.78593739858,2561301.16841104,2821590
3988191.75555927,43144.7540132534,-37.2765963602794,2071.90298616229,2541096.27688335,2821590
3988201.73555928,42149.0708943092,-39.1149535388875,2064.88853358022,2518075.28299906,2821590
3988211.79555929,41082.0790656245,-40.9637831997387,2056.38749227297,2491406.12133797,2821590
3988221.7755593,39955.7025713769,-42.7923956381086,2046.17200780278,2460757.40014931,2821590
3988231.75555931,38750.5729300078,-44.6138012240459,2033.64069121035,2424785.00487131,2821590
3988241.73555932,37462.5227397524,-46.4257399873185,2018.04478688155,2382020.5785695,2821590
3988251.79555933,36068.0907822371,-48.2393727073048,1997.84095622889,2329309.39673443,2821590
3988261.77555934,34577.5623788843,-50.0211493456125,1971.57052025894,2264131.33535289,2821590
